fixture,candidate,case,query,execution,corrected_execution,seconds,path_m,remaining_m,floor_error_m,max_stall_s,recoveries,waypoints,expanded,stale
synthetic,legacy,ground-under-roof,success,arrived,arrived,2.683,9.795,0.449,0.008,0.450,0.000,3.000,,
synthetic,legacy,upper-floor,success,arrived,arrived,2.633,4.984,0.446,0.008,0.450,0.000,2.000,,
synthetic,legacy,wrong-storey,success,wrong-arrival,wrong-arrival,0.017,3.150,0.000,3.150,0.017,0.000,1.000,,
synthetic,legacy,prop-top,success,execution-failure,execution-failure,2.717,6.335,0.948,0.892,2.233,0.000,3.000,,
synthetic,legacy,stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.500,3.040,0.000,0.000,0.000,,
synthetic,legacy,stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.500,3.040,0.000,0.000,0.000,,
synthetic,legacy,corner,unreachable,unreachable,unreachable,0.000,0.000,2.800,0.000,0.000,0.000,0.000,,
synthetic,legacy,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,legacy,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
synthetic,layers-0.4,ground-under-roof,success,arrived,arrived,2.567,4.000,0.432,0.008,0.467,0.000,3.000,10.000,0.000
synthetic,layers-0.4,upper-floor,success,arrived,arrived,2.567,4.000,0.432,0.008,0.467,0.000,3.000,10.000,0.000
synthetic,layers-0.4,wrong-storey,unreachable,unreachable,unreachable,0.000,0.000,0.000,3.150,0.000,0.000,0.000,,
synthetic,layers-0.4,prop-top,invalid,invalid,invalid,0.000,0.000,1.500,0.900,0.000,0.000,0.000,,
synthetic,layers-0.4,stairs-up,success,arrived,arrived,4.233,7.749,0.429,0.008,0.467,0.000,3.000,37.000,5.000
synthetic,layers-0.4,stairs-down,success,arrived,arrived,4.217,7.749,0.448,0.008,0.467,0.000,3.000,39.000,6.000
synthetic,layers-0.4,corner,success,arrived,arrived,3.550,4.989,0.429,0.008,0.717,0.000,5.000,46.000,10.000
synthetic,layers-0.4,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,layers-0.4,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
synthetic,layers-0.2,ground-under-roof,success,arrived,arrived,2.567,4.000,0.432,0.008,0.467,0.000,3.000,20.000,0.000
synthetic,layers-0.2,upper-floor,success,arrived,arrived,2.567,4.000,0.432,0.008,0.467,0.000,3.000,20.000,0.000
synthetic,layers-0.2,wrong-storey,unreachable,unreachable,unreachable,0.000,0.000,0.000,3.150,0.000,0.000,0.000,,
synthetic,layers-0.2,prop-top,invalid,invalid,invalid,0.000,0.000,1.500,0.900,0.000,0.000,0.000,,
synthetic,layers-0.2,stairs-up,success,arrived,arrived,4.267,7.232,0.433,0.008,0.467,0.000,4.000,167.000,60.000
synthetic,layers-0.2,stairs-down,success,arrived,arrived,4.267,7.232,0.427,0.008,0.467,0.000,4.000,163.000,74.000
synthetic,layers-0.2,corner,success,arrived,arrived,3.450,4.574,0.432,0.008,0.667,0.000,5.000,164.000,79.000
synthetic,layers-0.2,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,layers-0.2,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.2,ground-under-roof,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.2,upper-floor,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.2,wrong-storey,unreachable,unreachable,unreachable,0.000,0.000,0.000,3.150,0.000,0.000,0.000,,
synthetic,recast-0.2,prop-top,invalid,invalid,invalid,0.000,0.000,1.500,0.900,0.000,0.000,0.000,,
synthetic,recast-0.2,stairs-up,success,arrived,arrived,4.267,7.337,0.430,0.008,0.467,0.000,4.000,,
synthetic,recast-0.2,stairs-down,success,arrived,arrived,4.233,7.245,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.2,corner,success,arrived,arrived,3.117,4.943,0.431,0.008,0.500,0.000,6.000,,
synthetic,recast-0.2,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.2,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.1,ground-under-roof,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.1,upper-floor,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.1,wrong-storey,unreachable,unreachable,unreachable,0.000,0.000,0.000,3.150,0.000,0.000,0.000,,
synthetic,recast-0.1,prop-top,unreachable,unreachable,unreachable,0.000,0.000,1.500,0.900,0.000,0.000,0.000,,
synthetic,recast-0.1,stairs-up,success,arrived,arrived,4.233,7.239,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.1,stairs-down,success,arrived,arrived,4.233,7.239,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.1,corner,success,arrived,arrived,3.167,4.773,0.441,0.008,0.500,0.000,7.000,,
synthetic,recast-0.1,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.1,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.09,ground-under-roof,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.09,upper-floor,success,arrived,arrived,2.567,4.100,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.09,wrong-storey,unreachable,unreachable,unreachable,0.000,0.000,0.000,3.150,0.000,0.000,0.000,,
synthetic,recast-0.09,prop-top,unreachable,unreachable,unreachable,0.000,0.000,1.500,0.900,0.000,0.000,0.000,,
synthetic,recast-0.09,stairs-up,success,arrived,arrived,4.233,7.239,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.09,stairs-down,success,arrived,arrived,4.233,7.239,0.432,0.008,0.467,0.000,3.000,,
synthetic,recast-0.09,corner,success,arrived,arrived,3.317,4.639,0.441,0.008,0.567,0.000,7.000,,
synthetic,recast-0.09,disconnected,unreachable,unreachable,unreachable,0.000,0.000,5.000,0.000,0.000,0.000,0.000,,
synthetic,recast-0.09,crouch-tunnel,unreachable,unreachable,unreachable,0.000,0.000,6.000,0.000,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,18.016,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,25.991,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,1.292,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,18.961,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-4,unreachable,unreachable,unreachable,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,44.445,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,5.627,0.077,0.000,0.000,0.000,,
map,legacy,enemy-20/anchor-7,unreachable,unreachable,unreachable,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,18.035,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,26.007,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,1.187,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,18.875,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-4,unreachable,unreachable,unreachable,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,44.385,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,5.727,0.087,0.000,0.000,0.000,,
map,legacy,enemy-45/anchor-7,unreachable,unreachable,unreachable,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,18.118,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,16.860,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,27.860,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,37.760,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-4,unreachable,unreachable,unreachable,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,64.158,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,33.651,0.083,0.000,0.000,0.000,,
map,legacy,enemy-38/anchor-7,unreachable,unreachable,unreachable,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-4,unreachable,unreachable,unreachable,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,legacy,enemy-13/anchor-7,unreachable,unreachable,unreachable,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,legacy,enemy-12/anchor-0,success,stalled,stalled,49.633,39.026,34.429,0.400,49.633,0.000,9.000,,
map,legacy,enemy-12/anchor-1,success,stalled,stalled,58.617,47.446,41.118,0.400,58.617,0.000,10.000,,
map,legacy,enemy-12/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,legacy,enemy-12/anchor-3,success,stalled,stalled,15.000,6.382,6.073,0.400,15.000,0.000,4.000,,
map,legacy,enemy-12/anchor-4,success,stalled,stalled,36.117,26.359,24.540,0.400,36.117,0.000,6.000,,
map,legacy,enemy-12/anchor-5,success,stalled,stalled,42.783,32.602,29.648,0.400,42.783,0.000,6.000,,
map,legacy,enemy-12/anchor-6,success,stalled,stalled,37.067,27.235,24.919,0.400,37.067,0.000,5.000,,
map,legacy,enemy-12/anchor-7,success,wrong-arrival,wrong-arrival,0.050,1.125,0.449,0.380,0.050,0.000,2.000,,
map,legacy,W5/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.060,0.000,0.000,0.000,,
map,legacy,W5/stairs-up,success,arrived,arrived,3.933,14.182,0.446,0.020,0.383,0.000,3.000,,
map,legacy,W5/stairs-down,success,arrived,arrived,3.983,14.344,0.435,0.044,0.417,0.000,3.000,,
map,legacy,W1/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.021,0.000,0.000,0.000,,
map,legacy,W2/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,legacy,W2/stairs-up,success,arrived,arrived,3.817,13.920,0.437,0.005,0.450,0.000,3.000,,
map,legacy,W2/stairs-down,success,arrived,arrived,3.817,13.980,0.446,0.006,0.467,0.000,3.000,,
map,legacy,W3/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.272,0.000,0.000,0.000,,
map,legacy,W4/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.185,0.000,0.000,0.000,,
